GeneName,Low_Cys_Day12_E12,Low_Cys_Day14_E12,High_Cys_Day0_E13,High_Cys_Day3_E13,High_Cys_Day6_E13,High_Cys_Day8_E13,Low_Cys_Day10_E11,Low_Cys_Day12_E11,Low_Cys_Day14_E11,Low_Cys_Day0_E12,Low_Cys_Day3_E12,Low_Cys_Day6_E12,Low_Cys_Day8_E12,Low_Cys_Day3_E9,Low_Cys_Day6_E9,Low_Cys_Day8_E9,Low_Cys_Day10_E9,Low_Cys_Day12_E9,Low_Cys_Day14_E9,Low_Cys_Day0_E11,Low_Cys_Day3_E11,Low_Cys_Day6_E11,Control_Day12_D4,Control_Day14_D4,High_Cys_Day6_E16,High_Cys_Day8_E16,High_Cys_Day10_E16,High_Cys_Day12_E16,High_Cys_Day14_E16,High_Cys_Day3_E14,High_Cys_Day3_E16,High_Cys_Day0_E16,High_Cys_Day14_E14,High_Cys_Day12_E14,High_Cys_Day10_E14,High_Cys_Day6_E14,High_Cys_Day8_E14,High_Cys_Day0_E14,High_Cys_Day14_E13,High_Cys_Day12_E13,High_Cys_Day10_E13,Low_Cys_Day10_E12,Low_Cys_Day8_E11,Low_Cys_Day0_E9,Control_Day10_D4,Control_Day8_D4,Control_Day6_D4,Control_Day3_D4,Control_Day0_D4,Control_Day14_D2,Control_Day12_D2,Control_Day10_D2,Control_Day8_D2,Control_Day6_D2,Control_Day3_D2,Control_Day0_D2,Control_Day14_D1,Control_Day12_D1,Control_Day10_D1,Control_Day8_D1,Control_Day6_D1,Control_Day3_D1,Control_Day0_D1
Pgpep1,0.352163482,0.304261937,-0.931838923,-2.28777591,0.137320973,0.044702105,-0.072979445,0.026863156,0.589716031,-0.949195629,-0.810115005,0.224431567,0.019552797,-0.296288777,0.018119551,-0.081683798,0.072919178,0.302581453,0.159513236,-0.724713647,-0.412851834,-0.173237735,0.20333523,-0.083770775,0.121719157,0.525313467,0.336292669,-0.298570225,-0.624052689,-0.803619787,-2.062696801,-0.373075876,-0.526598338,-0.295051643,0.15832638,0.199867674,0.269795291,-0.692935011,0.036180196,0.087578298,0.002583161,0.235604235,-2.488286481,-1.032715575,0.095560883,0.248679113,-0.059486746,-0.734761323,-0.875248427,0.093917863,-0.013194415,0.239950793,0.336704889,0.030696797,-1.813445217,-1.342761598,0.309311612,0.21312057,0.197217808,0.217555856,-0.036028309,-2.355936987,-1.369988523
Rab3a,-0.182334024,0.44726333,-0.283755384,-1.200280259,-0.455215741,0.117005743,-0.409068734,0.299099234,0.717789537,-0.586806563,-0.374226299,0.035965497,-0.297614638,-0.68232694,-0.072107845,-0.09806778,0.018008598,-0.232077835,0.019375798,-0.603275498,-0.013349554,-0.093359639,-0.237857655,-0.378607043,0.032747276,0.831735041,0.403841758,1.532740509,1.85061208,-1.093467984,-0.543433592,-0.64332205,1.499242617,0.270873558,0.621249521,-0.1110112,-0.583719334,-0.430104947,0.600376111,0.77596722,0.56550522,0.241774573,-1.838503621,-0.87806616,-0.380724202,-0.483560469,-0.334807448,-0.276313097,-0.356660364,-0.240055106,-1.02257054,0.478988609,-0.111690147,-0.552096909,-1.406407296,-0.76806029,0.064350411,0.670390598,0.691360133,-0.103689337,-0.031211813,-1.083304629,-1.543542573
Mast3,-0.027429511,0.027963149,0.015668177,-0.755509488,-0.145135013,0.022758942,-0.056303778,0.204842666,0.258301059,0.047852564,-0.183985995,-0.10156235,0.112399603,0.046939223,-0.130091698,0.079322453,0.045036888,-0.177202083,-0.106358856,0.128921256,0.027384347,-0.202188851,-0.256444596,-0.2671134,0.043984234,0.28115045,0.072091151,0.403173677,0.557294751,0.062404767,-1.144948336,0.110049267,0.5888174,-0.207425056,0.02105064,0.106888157,-0.150710653,0.141437011,-0.012305651,0.149530239,0.105176477,0.154520308,-0.160739404,0.038861599,-0.036994207,-0.225174862,-0.197232347,-0.044590151,0.093067966,-0.174303162,-0.216897784,0.187443586,0.0436366,-0.111060801,-0.01092956,0.116100865,-0.1513021,0.322884911,0.167177124,-0.09792458,0.03850321,-0.223621607,-0.002336889
Ccdc124,-0.028778838,-0.263518342,0.187721718,0.464893376,0.166997069,0.038320846,-0.018427664,-0.215937399,0.240666593,0.646517171,-0.166333801,0.147557188,0.054619585,-0.06103171,-0.071677091,-0.085067715,0.037248247,-0.230028836,-0.171345168,0.303793959,-0.128485928,-0.224606842,0.326566161,0.266682622,0.075419351,-0.05195208,-0.14891381,-0.48465035,-0.907492848,0.370026625,0.803335151,0.249072533,-0.054107405,0.243067202,-0.08391672,0.157782938,0.403896942,0.260286652,-0.22028829,-0.006377807,-0.691450935,0.007207484,0.652883573,0.489921397,0.110920393,0.461447964,-0.035381216,-0.248065815,0.39258501,0.256418974,0.157717382,-0.027588722,0.037862452,0.126362966,0.682915877,0.511351258,0.057129833,-0.144076178,-0.141889929,-0.024206272,0.071848561,0.352671618,0.741840317
Rpl18a,0.141656932,0.308986482,0.198440683,-0.100289199,-0.057834435,-0.076075784,0.105591263,0.160504711,0.248105089,0.122919233,0.087755119,0.055671043,-0.02827311,0.060458091,0.089871717,0.073751401,0.139153353,0.089809304,0.299846513,0.116131687,0.096714281,0.158670992,-0.10971454,-0.201733311,0.020034312,0.003837169,-0.017519431,-0.007328235,0.049683493,0.03105684,-0.10121719,0.115887306,-0.184222821,-0.113796297,0.016192735,0.027599131,-0.180819393,0.201486493,0.031689074,-0.018613945,-0.103020227,0.174091321,0.058301192,0.113778437,-0.250048219,-0.181889783,-0.03887147,0.123097725,0.145397727,-0.144453769,-0.332032677,0.028564443,-0.09381089,-0.083983878,0.02102027,0.140000778,-0.083416008,-0.18708786,-0.028515245,-0.088874738,0.01852986,0.012745315,0.139718157
Map1s,-0.318271071,0.102462034,0.024731689,-0.673618054,0.358347446,0.059222337,0.046561846,-0.204706145,-0.228082578,0.577758016,0.302738003,0.27686322,0.048562101,0.431472421,0.10789798,0.017401491,0.024951494,-0.082893008,0.14793625,0.088353149,0.250029017,0.104412053,0.047155375,-0.295268211,0.235929176,-0.226327367,-0.17107331,0.046917526,0.413351123,0.150713015,-0.169082552,0.29016658,-0.529470447,-0.092944251,0.017473613,0.139413114,0.287023023,0.274116989,0.672568929,-0.22009742,0.006274546,-0.1660538,0.139479368,0.364725568,-0.062936742,0.231889303,-0.005144875,0.133962442,0.028040305,-0.062614424,-0.650508266,-0.12592244,0.135243472,0.203273332,0.0541612,0.656805512,-0.333264905,-0.054401117,-0.134878916,-0.147087187,0.210731755,1.004932296,0.144079173
Babam1,0.15952983,0.410591594,-1.157970659,-2.446391242,-0.094182439,-0.381592436,0.247381142,0.206208591,0.336182079,-0.276517635,0.2793824,0.315775868,-0.076235586,0.262036346,0.300201907,0.419654127,-0.092915897,0.15952983,0.005353234,-0.162882766,-0.098778154,-0.939627382,-0.060235107,-0.025901863,0.259454516,-0.280107919,-0.373217324,-1.346163105,-0.130553554,0.141791862,-0.188917717,0.058654218,-0.916168409,0.020391789,-0.269033146,0.25201759,-0.257681171,-0.084268917,-0.054277061,-0.095157233,0.361637805,-0.291766124,0.456638404,0.488389241,0.040357738,0.145850866,-0.585681415,-0.142444265,-0.777192952,0.119463667,0.143544126,-0.46712601,0.041306974,0.081529885,-0.121242543,-0.328232672,-0.458106221,0.050983929,-0.38466385,-0.123199065,-0.260960078,-0.197446064,0.418869361
Bst2,0.133307535,0.111990797,0.350269959,0.098583918,-0.086606648,-0.176325927,0.117595664,0.045911102,0.127527653,0.612715816,0.115693062,-0.031337822,0.090931694,0.225991398,-0.0038906,0.038862477,0.203009942,0.217886636,0.274758486,0.526892227,0.131603116,-0.082443819,-0.220998254,-0.195130341,-0.099555381,-0.119607342,-0.175873954,-0.477971266,-0.357682038,0.314839638,0.074691544,0.638067562,-0.579671627,-0.056297267,-0.138966381,0.02259102,0.008710569,0.295063446,-0.145076355,-0.357229679,-0.26482481,0.020029971,-0.095675029,0.501390687,-0.2538817,-0.160908028,-0.19119274,0.168342041,0.607100643,-0.146437369,-0.082954296,-0.254103346,-0.086472626,-0.117239308,0.333210671,0.479774647,-0.163082029,-0.163556755,-0.145471274,-0.058212208,-0.121606612,0.174015377,0.422234279
Slc27a1,0.305875052,0.219979506,-0.002998328,-0.462054815,0.16203216,-0.038447164,0.256226724,0.2935186,0.135529932,0.225023877,0.037114485,0.103074791,0.282861494,0.111344976,0.08316369,0.167168083,0.235678866,0.329661305,0.520184596,-0.066780092,-0.070068177,0.044344041,0.156998327,0.166802959,0.1284796,0.022495701,-0.120113526,-0.518143318,-1.00900198,0.114599666,-0.713231356,0.024791933,-0.932998484,-0.061644635,-0.169723353,0.048775152,0.131562283,-0.197825317,-0.041176391,-0.162671617,-0.038141988,0.151211057,-0.315164393,-0.087860114,0.034488376,0.071938115,0.219108213,0.024578023,-0.143056935,0.040548518,0.093166418,-0.020833503,0.084208846,0.256875613,-0.145365642,0.416189352,0.008664861,-0.057196776,-0.00842736,0.060464641,0.10418885,-0.176276681,-0.380031049
Pgls,-0.267392182,-0.307292557,-0.085135811,-0.521040553,0.10941328,0.124856764,-0.077614461,-0.288848795,-0.352602482,-0.276739918,-0.050989291,0.045137989,-0.247037168,0.001493731,0.04556781,-0.004372291,-0.142206881,-0.150136362,-0.548303466,-0.013725052,0.072133662,0.020405612,-0.132882302,-0.299736102,0.158056925,0.308927231,0.244664823,-0.008773132,-0.265267238,-0.249131986,-0.751916836,-0.007692261,-0.12866091,-0.049362377,0.093218375,0.107068205,0.036838091,-0.075130181,-0.063169842,0.003026771,0.092406545,-0.110827933,-0.848361681,-0.096163123,-0.148526646,-0.009999467,-0.039906164,0.005526352,-0.268388605,-0.132459252,-0.17246131,0.085895271,0.0879785,-0.085161892,-0.549305528,-0.362521702,-0.098009703,-0.027980132,-0.010840928,-0.005805193,0.079723437,-0.683622801,-0.625416551
Colgalt1,0.304779977,0.216138945,-0.430083959,-0.051343908,-0.020727869,-0.008070539,0.18123647,0.242671643,0.220086408,-0.246179048,-0.194135359,-0.129370903,0.053061429,-0.175959988,-0.086177389,0.083908596,0.199059543,0.222930523,0.355918108,-0.365376734,-0.355956754,-0.036404359,0.200861651,0.240873632,-0.035789534,-0.115001275,-0.006931459,-0.059921415,-0.170118179,-0.154274038,-0.118825254,-0.241163568,-0.161964699,0.151568526,0.103658702,-0.020328685,0.100205217,-0.452771152,-0.094131817,-0.057713977,-0.12755672,0.175991535,0.152747326,-0.308088901,0.156721119,0.062363495,-0.003438595,-0.241700818,-0.214366281,0.224242,0.282289481,-0.007660511,0.080571182,0.080597116,-0.012508812,-0.233941873,0.06607523,-0.04262699,-0.099189643,0.024168468,-0.016257773,-0.09908512,-0.299827536
Rab8a,-0.128500856,-0.210963017,0.102028685,0.574247612,-0.0706081,0.115269437,-0.286502253,-0.340401665,-0.351745588,-0.019175079,0.015361143,-0.407399297,-0.042310805,0.15090557,-0.41479378,-0.205225138,-0.237209032,-0.011670901,0.269582201,-0.000731404,-0.09033232,-0.313731648,0.085982263,0.108429077,-0.144850522,0.487212709,-0.050923935,0.149067645,0.081801579,0.323127783,0.443522736,0.17418523,0.116702957,0.060150838,0.145336506,-0.036807213,0.046282139,0.046180351,0.007135446,0.13000858,-0.228339977,-0.319671192,0.642683177,-0.200010728,0.036558165,0.124408085,0.072243893,-0.015526463,0.028718324,-0.157124915,0.103078077,0.087285555,-0.065939203,-0.023377514,0.597498076,-0.072171021,0.008315268,-0.244210532,0.068933003,-0.075040056,-0.439606221,-0.11278813,0.721673553
Ap1m1,-0.272219492,-0.1920241,0.041306203,0.051312091,-0.080777709,0.09711001,0.027278018,-0.257178286,-0.174652979,0.147431289,-0.005731654,0.030775436,0.091603415,0.02216165,0.051404774,0.09151819,-0.037016809,-0.115221488,-0.455697476,-0.029845298,0.018685061,0.111009395,-0.061263655,-0.0046068,0.052860943,0.030125579,0.060024347,0.348920654,0.140120364,0.08216274,-0.262454428,0.054778602,0.266842897,0.028438879,0.048313938,0.011418831,-0.016625655,0.023300459,-0.008207354,0.036447975,-0.030921336,-0.183695243,0.000135828,0.01498726,0.071085403,0.07038286,0.045020183,-0.02567247,0.213831394,0.058088331,0.147674403,0.081089947,0.058214614,0.04478156,0.178323316,0.052137873,0.089824663,0.230080995,0.112468737,0.104372314,0.001234339,0.136576186,0.042033614
Eps15l1,-0.532636059,-1.0707841,0.37757243,-0.110035684,-0.068801065,-0.009797627,-0.043153803,-0.48620582,-0.623414829,0.362537014,0.202867461,-0.021144725,-0.047708692,0.059022784,0.045292558,NA,-0.101097877,-0.634144346,-0.924752786,0.30895358,0.198941774,0.102987099,-0.098214393,-0.18612642,0.039680583,-0.06099871,-0.044771907,-0.15118962,-0.290100441,0.276438396,-0.147691712,0.258364905,-0.293970086,-0.248967294,-0.142352923,0.066233698,0.049043699,0.337285353,-0.12499273,-0.032726177,-0.25307002,-0.099535674,0.113302003,0.309602457,-0.105955457,0.017652774,0.028042543,0.16374113,0.590779827,-0.099191929,0.135528582,-0.005093777,-0.043688275,0.035856153,0.207294312,0.407877708,-0.204373956,-0.156153581,-0.005093777,0.009668648,-0.067324302,0.212923701,0.376585171
Cherp,-0.148522525,0.068895081,-0.056760232,-0.302621669,-0.400604878,-0.244948903,-0.371804002,0.15461701,-0.058144042,0.267156394,0.560146181,0.158885194,-0.403692526,0.390359821,-0.04747871,0.049468676,-0.077542249,0.105794664,-0.376504628,0.44406448,0.257487096,-0.015177528,-0.22602325,-0.323226066,0.023243001,0.162311817,0.03191518,-0.139006193,-0.268384218,-0.194425963,0.408578349,0.482316452,-0.488449586,-0.118941073,-0.039192768,0.121598594,-0.549420235,0.069654384,0.211147664,-0.209272558,-0.285247432,-0.159490171,0.284863771,-0.194647431,-0.252273711,-0.351472371,-0.391379049,0.485426827,0.385505923,-0.490759234,-0.304393436,-0.399689535,0.049875907,-0.092036554,-0.31478218,0.482770745,-0.116584974,-0.044087754,-0.417611443,-0.083317163,-0.067381016,0.092335219,0.316519109
Tom1,-0.012807776,0.018701306,-0.416793294,-0.179478537,-0.01129147,0.084198638,0.102999413,0.208416402,-0.319431362,-0.584250305,-0.385616215,0.703256233,0.019331478,-0.330746305,0.100592206,0.052617827,0.05747724,-0.078609835,-0.466261085,-0.426152697,0.137888089,0.097423481,0.024449408,-0.086731676,0.043882783,0.112023376,0.075015611,0.026083679,0.095715364,-0.346225647,-0.436264855,-0.558883157,-0.078946803,-0.078338081,0.076102071,0.090420665,-0.048835018,-0.198862112,-0.113656782,0.278332906,0.099098686,0.03874289,0.66804154,-0.506127397,-0.085729874,0.79828284,0.100464348,-0.174871223,-0.461502146,0.0297028,-0.557000671,0.205928067,0.133590972,-0.195293459,-0.265987723,-0.597123933,-0.034827333,0.016996479,0.163477192,-0.090143016,0.032195117,-0.419699184,0.195973096
Hmox1,-0.003497598,-0.114956836,0.414329156,0.686547558,-0.309484723,-0.739513147,0.249702969,-0.236802347,-0.679339724,0.589483341,0.894783346,0.917771129,0.257675415,0.797332979,0.794315044,0.271580307,0.21292828,-0.179667784,-0.649085605,0.306513043,0.791164986,0.90648762,-0.492267313,-0.598847262,-0.36675242,-0.750779515,-0.609336502,-0.81608458,-0.262375502,0.496320956,0.764881011,0.521178216,-0.536623077,-0.470688246,-0.677640218,-0.416914562,-0.764521233,0.362811854,-0.069881292,-0.561578068,-0.640234887,0.072602583,0.575467167,0.201675683,-0.661298762,-0.553008664,-0.085602531,0.703890885,0.382140304,-0.220571765,-0.30223041,-0.363740528,-0.522680042,-0.027549166,0.501404154,0.580057595,0.107675132,-0.09568847,-0.200317071,-0.390714714,-0.341090844,0.969850897,0.559999083
Mcm5,-0.954572584,-0.761927506,1.158792259,0.248772172,-0.652736717,-0.455380387,-0.568772047,-0.828038731,-0.527767099,1.104082202,0.84900094,0.085797873,-0.394577862,0.607496523,-0.046036719,-0.173046985,-0.733672306,-0.85322334,-1.811209306,0.268278192,1.064171685,0.11430857,-1.035854883,-1.366609534,-0.04535675,-0.591157402,-0.808782156,-0.78570673,-0.723137366,0.929133006,0.28384343,0.952424154,-0.79663789,-0.852205702,-0.473306589,0.045576287,-1.113682023,1.27958411,-0.808609549,-0.780319776,-0.682988808,-0.917616343,-2.172579455,1.565003951,-0.99574825,-0.855441719,-0.24886571,0.848398604,0.950042434,-1.074075099,-1.889935118,-0.656174636,-0.481595316,-0.028669692,0.81106169,1.267634974,-1.30256277,-0.813029246,-0.597598191,-0.72954251,0.147252367,0.508973688,-0.798981229
Rbmxl1,-0.069934291,-0.018320183,-0.020162215,-1.050943917,-0.103413662,-0.041754746,-0.084888898,0.232493011,0.165737204,-1.375338909,-0.108934372,0.518644604,-0.29925902,0.161013469,0.192254347,0.167007518,0.15356503,-0.199814573,-0.152352372,-0.025222584,0.106915204,0.084888898,-0.19939612,-0.306694238,-0.030173038,-0.049134723,-0.069540933,-0.048641131,-0.104891966,-0.093635072,-0.63177479,0.134339718,2.107890723,-0.183742822,-0.063972329,0.340579428,-0.228560879,0.560850045,-0.24224984,0.407044709,-0.701221028,0.145407905,0.198904068,0.047305715,0.241621099,0.031026896,-0.109741584,-0.046650093,0.050909672,-0.321928095,-0.481790543,0.062396537,0.260134515,-0.719910339,-0.085247287,-1.62179838,-0.199937571,-0.198545679,0.268338438,0.006859596,-0.206450877,-1.546592692,-0.201633861
Lsm6,-0.096747742,-0.199225246,0.356585417,0.362260726,0.067159401,0.000321182,-0.1796061,-0.183934053,-0.282930116,0.332111081,0.16425137,-0.284053929,-0.026634438,0.218655131,-0.12040676,-0.126399116,-0.063648077,-0.141499055,-0.149174211,0.412388245,0.191799349,-0.072858964,-0.055375676,-0.166796322,0.055483385,-0.089779377,-0.115615827,-0.243170637,-0.207952152,0.340709813,0.314512232,0.42477258,-0.33063404,-0.27665019,-0.196382368,-0.004996557,-0.046104487,0.340672647,-0.117854177,-0.074748395,-0.132776601,-0.003750103,-0.087058943,0.304872868,-0.149267257,-0.225396352,-0.080473243,0.230958103,0.425687612,-0.219403306,-0.11721003,-0.06227178,-0.090420022,-0.067029651,0.31556899,0.365263698,-0.117659561,-0.132223221,-0.086689071,-0.166136201,-0.072147324,0.132599112,0.431505293
